[2026-04-01T01:17:42.801Z] GET http://localhost:5174/src/react-app/pages/Login.tsx → 200 (25ms, 23606B)
[2026-04-01T01:17:42.803Z] GET http://localhost:5174/src/react-app/pages/AuthCallback.tsx → 200 (26ms, 12804B)
[2026-04-01T01:17:42.803Z] GET http://localhost:5174/src/react-app/pages/DiagnosticIntro.tsx → 200 (26ms, 32584B)
[2026-04-01T01:17:42.804Z] GET http://localhost:5174/src/react-app/pages/DiagnosticTest.tsx → 200 (26ms, 37447B)
[2026-04-01T01:17:42.804Z] GET http://localhost:5174/src/react-app/pages/DiagnosticResults.tsx → 200 (26ms, 49784B)
[2026-04-01T01:17:42.804Z] GET http://localhost:5174/src/react-app/pages/PracticeSetup.tsx → 200 (26ms, 37472B)
[2026-04-01T01:17:42.804Z] GET http://localhost:5174/src/react-app/pages/Practice.tsx → 200 (28ms, 107860B)
[2026-04-01T01:17:42.804Z] GET http://localhost:5174/src/react-app/pages/PracticeSummary.tsx → 200 (27ms, 107036B)
[2026-04-01T01:17:42.808Z] GET http://localhost:5174/src/react-app/pages/Dashboard.tsx → 200 (24ms, 52839B)
[2026-04-01T01:17:42.808Z] GET http://localhost:5174/src/react-app/pages/Welcome.tsx → 200 (24ms, 33951B)
[2026-04-01T01:17:42.808Z] GET http://localhost:5174/src/react-app/pages/Onboarding.tsx → 200 (28ms, 58994B)
[2026-04-01T01:17:42.808Z] GET http://localhost:5174/src/react-app/pages/Settings.tsx → 200 (28ms, 131186B)
[2026-04-01T01:17:42.808Z] GET http://localhost:5174/src/react-app/pages/AITutor.tsx → 200 (28ms, 88241B)
[2026-04-01T01:17:42.808Z] GET http://localhost:5174/src/react-app/pages/Progress.tsx → 200 (30ms, 161559B)
[2026-04-01T01:17:42.808Z] GET http://localhost:5174/src/react-app/pages/StudyPlan.tsx → 200 (29ms, 84562B)
[2026-04-01T01:17:42.809Z] GET http://localhost:5174/src/react-app/pages/Pricing.tsx → 200 (27ms, 50564B)
[2026-04-01T01:17:42.846Z] GET http://localhost:5174/src/react-app/lib/supabase.ts → 200 (2ms, 1320B)
[2026-04-01T01:17:42.846Z] GET http://localhost:5174/node_modules/.vite/deps/lucide-react.js?v=240bc27f → 200 (?ms, 894771B)
[2026-04-01T01:17:42.847Z] GET http://localhost:5174/src/react-app/components/ui/button.tsx → 200 (3ms, 10563B)
